id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price_usd,price_brl,host_tipo,desempenho_recente,min_preco,max_preco,score
702162554826749738,Palermo corazón,476843126,Alida Maria Del Carmen,Palermo,-34.58441,-58.41941,Entire home/apt,30309.0,1,229,2025-01-29,9.55,1,345,132,35.66,178.29,Individual,132.0,-6.298323113564848,144.8866854829028,0.888851513695339
1024068421411439150,Departamento en Palermo Hollywood,545427020,Enrique Roberto,Palermo,-34.575818379564126,-58.4339414164424,Entire home/apt,35403.0,1,147,2025-01-15,10.38,1,250,128,41.65,208.25,Individual,128.0,-6.298323113564848,144.8866854829028,0.8275175465961299
892644603110040418,"Departamento en Las Cañitas, cerca del Aeroparque",513165179,Gabriel,Palermo,-34.5675982,-58.4361298,Entire home/apt,42009.0,1,247,2025-01-27,11.89,1,329,128,49.42,247.11,Individual,128.0,-6.298323113564848,144.8866854829028,0.7901797282395704
1028899812392220180,Moderno Monoambiente Palermo,547365377,Luis Mario,Palermo,-34.581996,-58.4427287,Entire home/apt,21456.0,1,120,2025-01-24,8.29,1,35,108,25.24,126.21,Individual,108.0,-6.298323113564848,144.8866854829028,0.7436252219121944
988986064403565633,Coronel Días Apartamento,527899616,Natuna,Palermo,-34.58569607737044,-58.409178775718345,Entire home/apt,26644.0,2,137,2025-01-20,8.56,1,228,111,31.35,156.73,Individual,111.0,-6.298323113564848,144.8866854829028,0.7386766342860966
1094162299794914434,Departamento a nuevo en Palermo,526292841,Diego Julian,Palermo,-34.5766034,-58.4231135,Entire home/apt,32105.0,1,208,2025-01-27,18.03,2,30,208,37.77,188.85,Individual,104.0,-6.298323113564848,144.8866854829028,0.6508640563507078
809435626666606188,Departamento en Palermo - Buenos Aires,441469480,Cesar,Palermo,-34.5813177,-58.4329413,Entire home/apt,28503.0,1,216,2025-01-10,8.85,1,325,97,33.53,167.66,Individual,97.0,-6.298323113564848,144.8866854829028,0.614276850832426
1011180226564149399,AEP Airport: nothing closer in Palermo!,543645054,Gabriel Alejandro,Palermo,-34.57589090959442,-58.419916153967286,Entire home/apt,31958.0,1,93,2025-01-29,10.49,1,16,93,37.6,187.99,Individual,93.0,-6.298323113564848,144.8866854829028,0.5621692172267299
1066561008916331876,Dpto. a estrenar en Palermo H.,555865928,Agustina Maria,Palermo,-34.57664832113919,-58.4347521193462,Entire home/apt,30761.0,1,93,2025-01-25,7.44,1,252,92,36.19,180.95,Individual,92.0,-6.298323113564848,144.8866854829028,0.5608073736979631
932819479784613380,New Studio in Palermo,524949368,Lara,Palermo,-34.578805,-58.43581750000001,Entire home/apt,52511.0,1,170,2025-01-06,9.19,1,265,107,61.78,308.89,Individual,107.0,-6.298323113564848,144.8866854829028,0.5598991304257152
1016109598432866518,Monoambiente alto palermo,459968030,Morena,Palermo,-34.5860734,-58.4110747,Entire home/apt,36758.0,1,97,2024-12-29,6.42,1,246,92,43.24,216.22,Individual,92.0,-6.298323113564848,144.8866854829028,0.5269294304014709
1062283608327496381,Paraguay Open,417702971,Augusto Tomas,Palermo,-34.5886984,-58.41918719999999,Entire home/apt,28618.0,1,80,2025-01-27,7.21,1,39,80,33.67,168.34,Individual,80.0,-6.298323113564848,144.8866854829028,0.4752677501514173
812041171202359233,Departamento en Palermo,383504466,Christian,Palermo,-34.5739924,-58.43235319999999,Entire home/apt,26886.0,2,105,2025-01-28,6.55,1,12,78,31.63,158.15,Individual,78.0,-6.298323113564848,144.8866854829028,0.46879586511214444
1056496908123581009,Cálido Estudio en Colegiales,553087217,Maria Soledad,Colegiales,-34.5763898,-58.44823149999999,Entire home/apt,24754.0,2,77,2025-01-26,6.13,1,230,76,29.12,145.61,Individual,76.0,-25.39338022656716,170.99145541453709,0.4645825096259709
38665309,"Estudio Palermo Soho, Plaza Serrano - Buenos Aires",170072747,Andy Y Flor,Palermo,-34.58914,-58.42937,Entire home/apt,26255.0,1,209,2025-01-14,3.22,1,348,77,30.89,154.44,Individual,77.0,-6.298323113564848,144.8866854829028,0.464214415624704
824122651742526877,Estudio Premium Class Palermo,115539423,Federico,Palermo,-34.583536069173874,-58.40865130971861,Entire home/apt,33008.0,2,136,2025-01-26,5.91,1,350,79,38.83,194.16,Individual,79.0,-6.298323113564848,144.8866854829028,0.44233454669953676
608103076673618898,Confortable departamento dos ambientes en Palermo,154861930,Vicky,Palermo,-34.57514,-58.43519,Entire home/apt,26255.0,3,157,2025-01-28,4.88,1,161,74,30.89,154.44,Individual,74.0,-6.298323113564848,144.8866854829028,0.4398021190605087
597689019876010289,Muy lindo dto en Palermo,452689971,Ney,Palermo,-34.58709,-58.43802,Entire home/apt,24641.0,3,82,2025-01-22,2.6,1,64,71,28.99,144.95,Individual,71.0,-6.298323113564848,144.8866854829028,0.4245200483492687
21412166,Monoambiente pensado en el detalle,126665515,Emir,Palermo,-34.58019,-58.41037,Entire home/apt,24095.0,2,283,2025-01-14,4.51,1,339,70,28.35,141.74,Individual,70.0,-6.298323113564848,144.8866854829028,0.4194580606590412
45512129,Apartamento en el corazón de Palermo 💙🚀,41498745,Graciela,Palermo,-34.58418,-58.41951,Entire home/apt,26255.0,1,196,2025-01-12,5.19,1,333,71,30.89,154.44,Individual,71.0,-6.298323113564848,144.8866854829028,0.4153898224963134
46597431,Departamento zona Embajada USA con Pileta Palermo,165122512,Andres,Palermo,-34.57505,-58.42055,Entire home/apt,41704.0,1,300,2025-01-15,6.35,1,54,80,49.06,245.32,Individual,80.0,-6.298323113564848,144.8866854829028,0.40131292074247926
877001506183423485,Explora Buenos Aires desde la comodidad de Palermo,84850261,Flavia,Palermo,-34.591520347815994,-58.418556887532446,Entire home/apt,30005.0,2,120,2025-01-28,5.63,1,25,70,35.3,176.5,Individual,70.0,-6.298323113564848,144.8866854829028,0.38606065556533625
1065505626717988681,Monoambiente en Palermo con ubicación Privilegiada,510955346,Sebastian,Palermo,-34.5756375,-58.4064139,Entire home/apt,48762.0,1,82,2025-01-23,10.0,1,331,82,57.37,286.84,Individual,82.0,-6.298323113564848,144.8866854829028,0.3776550604669997
891213934434450153,Amo Buenos Aires. Apartamento en Palermo,514688864,Yanina,Palermo,-34.5776133,-58.43506919999999,Entire home/apt,36012.0,1,133,2025-01-28,6.41,1,119,73,42.37,211.84,Individual,73.0,-6.298323113564848,144.8866854829028,0.3764989011924821
1079156178112887259,"Departamento, Palermo. Bs As",211714389,Tihanny,Palermo,-34.57957,-58.42616,Entire home/apt,26255.0,2,66,2025-01-14,5.45,1,79,66,30.89,154.44,Individual,66.0,-6.298323113564848,144.8866854829028,0.37470266155598797
613071566923997701,¡Ubicación Perfecta! Amplia habitación privada,127848291,Candela,Palermo,-34.58373,-58.42372,Private room,24901.0,2,189,2025-01-10,5.64,1,83,65,29.3,146.48,Individual,65.0,-6.298323113564848,144.8866854829028,0.37420578679223804
838492788248404932,Departamento Palermo Hollywood,98043921,Juan Pablo,Palermo,-34.5791077,-58.4286317,Entire home/apt,29102.0,2,134,2025-01-27,5.89,1,215,67,34.24,171.19,Individual,67.0,-6.298323113564848,144.8866854829028,0.3667420639506844
892690399835735107,Cálido 2 ambientes en el Corazón de Palermo Soho,131952778,Ramiro,Palermo,-34.587587,-58.42177,Entire home/apt,28440.0,2,97,2025-01-25,5.03,1,362,66,33.46,167.29,Individual,66.0,-6.298323113564848,144.8866854829028,0.3623528297443589
941843368281652108,Warm apartment in the heart of Palermo Hollywood,527393149,Antonella,Palermo,-34.58241962957683,-58.43427082866178,Entire home/apt,35854.0,3,108,2025-01-26,6.28,1,238,71,42.18,210.91,Individual,71.0,-6.298323113564848,144.8866854829028,0.3611370594016473
974524678101054284,Estudio Oro en Palermo Nuevo,279732118,Mario Cesar,Palermo,-34.5773412,-58.4224097,Entire home/apt,33912.0,2,99,2025-01-27,6.01,1,23,69,39.9,199.48,Individual,69.0,-6.298323113564848,144.8866854829028,0.3558184660490636
8626845,Apartment in Palermo,41498284,Yanina,Palermo,-34.57787,-58.41004,Entire home/apt,29259.0,2,434,2025-01-20,3.83,1,344,65,34.42,172.11,Individual,65.0,-6.298323113564848,144.8866854829028,0.34960223080953734
759328120622973112,Departamento en Palermo con vista a jardines,483433340,Andrea,Palermo,-34.573118,-58.4230651,Entire home/apt,33008.0,1,149,2025-01-27,5.67,1,236,67,38.83,194.16,Individual,67.0,-6.298323113564848,144.8866854829028,0.34468536044275555
53670846,Departamento en zona exclusiva de Buenos Aires,96018074,Sebastian,Palermo,-34.57783,-58.40874,Entire home/apt,33008.0,2,209,2025-01-27,5.71,1,18,65,38.83,194.16,Individual,65.0,-6.298323113564848,144.8866854829028,0.3284104960666253
36000598,Palermo Hollywood studio,270841978,Maria Agustina,Colegiales,-34.57872009277344,-58.44041061401367,Entire home/apt,22000.0,1,85,2025-01-25,1.25,1,249,57,25.88,129.41,Individual,57.0,-25.39338022656716,170.99145541453709,0.32554073582303683
1036824403751681456,Departamento en Buenos Aires excelente ubicación,100279978,Maria Macarena,Palermo,-34.5817965,-58.4098955,Entire home/apt,41410.0,1,75,2025-01-14,5.4,1,314,70,48.72,243.59,Individual,70.0,-6.298323113564848,144.8866854829028,0.32157242875130454
907371520256330853,Departamento muy bien ubicado.,314625260,Rodrigo,Palermo,-34.5898404,-58.4358622,Entire home/apt,22958.0,2,108,2025-01-17,5.52,1,361,57,27.01,135.05,Individual,57.0,-6.298323113564848,144.8866854829028,0.3201106541315424
922370391509324970,"Palermo Hollywood, Buenos Aires",64735123,Daniel,Palermo,-34.5840483,-58.4347332,Entire home/apt,46063.0,1,83,2025-01-15,5.74,1,254,73,54.19,270.96,Individual,73.0,-6.298323113564848,144.8866854829028,0.3196992856230443
765941186860951618,Departamento en Palermo Soho.,488629718,Alejandro,Palermo,-34.58697,-58.43284,Entire home/apt,20857.0,2,80,2025-01-12,4.52,1,9,52,24.54,122.69,Individual,52.0,-6.298323113564848,144.8866854829028,0.2912927868000587
892838167006947795,Bienvenidos a Palermo,56895608,Clara,Palermo,-34.59167862402265,-58.41744683682919,Private room,23105.0,1,164,2025-01-24,8.01,2,321,107,27.18,135.91,Individual,53.5,-6.298323113564848,144.8866854829028,0.29081272652857637
1087177505097480908,Amplio estudio Palermo Hollywood,185943172,Mauricio J.,Palermo,-34.588025333302994,-58.43856856226921,Entire home/apt,29763.0,2,58,2025-01-15,6.08,1,53,58,35.02,175.08,Individual,58.0,-6.298323113564848,144.8866854829028,0.289756976276359
861839030614844765,"Depto. Palermo, con asador en el balcón + pileta",336927220,Fede Y Joy,Palermo,-34.582673,-58.44391350000001,Entire home/apt,27757.0,1,98,2025-01-29,4.45,1,313,56,32.66,163.28,Individual,56.0,-6.298323113564848,144.8866854829028,0.2848228134860049
815783737312105706,New Palermo SOHO Modern Apartment-Estudio,460888199,Andrea,Palermo,-34.5909206,-58.4253502,Entire home/apt,29406.0,1,133,2025-01-23,5.73,1,217,56,34.6,172.98,Individual,56.0,-6.298323113564848,144.8866854829028,0.27550037235193475
1096014642279167698,Apartment in Palermo,23927879,Ignacio,Palermo,-34.5926034,-58.4178899,Entire home/apt,31359.0,1,57,2025-01-26,7.47,1,268,57,36.89,184.46,Individual,57.0,-6.298323113564848,144.8866854829028,0.27263347969617474
878873385605883570,The Luminous Bliss Studio in Palermo Hollywood •,59644745,Maria Gabriela,Palermo,-34.5811704,-58.4307793,Entire home/apt,38553.0,2,91,2025-01-26,4.72,1,289,61,45.36,226.78,Individual,61.0,-6.298323113564848,144.8866854829028,0.2644816226723659
29510716,Departamento Monoambiente en Palermo Hollywood,42806667,Serena,Palermo,-34.57949,-58.43724,Entire home/apt,30456.0,2,179,2025-01-28,2.37,1,45,55,35.83,179.15,Individual,55.0,-6.298323113564848,144.8866854829028,0.261452320269588
985637686830166536,Hermoso departamento en Palermo,433325719,Silvia,Palermo,-34.58056256524279,-58.42775771157473,Entire home/apt,28051.0,2,72,2025-01-14,4.47,1,218,52,33.0,165.01,Individual,52.0,-6.298323113564848,144.8866854829028,0.2506392548442682
42294127,Palermo: ubicación y confort,336020489,Alejandro,Palermo,-34.578548003948455,-58.42336054199749,Entire home/apt,28807.0,2,196,2025-01-29,9.97,2,71,105,33.89,169.45,Individual,52.5,-6.298323113564848,144.8866854829028,0.2504311809334954
